;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q4-1994;1;1.4;1.7;0.7;0.9;1.2;0.9;-0.4;3.9;1.1;0.9;4;0.4;1.5;0.3;0.6;1.1
Q1-1995;0;0.8;-0.1;0.9;0.5;-0.3;1.3;1.1;2.1;-5.7;0.7;-0.8;1.1;1.1;-0.6;0.4;0.4
Q2-1995;0.4;0.4;0.4;0;0.4;0.8;0.1;1;2;-4.9;0.8;0.9;0.6;0.7;0.3;0.4;0.3
Q3-1995;2.3;0.2;0.6;0.1;0.2;0.2;0.4;1.2;2.1;1.9;0.8;2.4;0.4;0.5;0.7;0.9;0.9
Q4-1995;0.1;0.3;0.2;0.4;0.2;0;0.8;0.2;1.9;1.9;0.7;1.2;0.8;0.8;0.1;0.1;0.7
Q1-1996;1.7;0.8;-0.2;0.1;0.5;-0.8;0.2;0.8;1.9;2.5;0.4;1.5;0.6;0.5;0.2;0.9;0.7
Q2-1996;0.7;0.7;0.7;0.7;0.3;1.4;0;1.2;2;1.5;1.1;-0.1;0.7;-0.5;-0.3;0.4;1.7
Q3-1996;0.8;0.2;0.5;0.9;0.6;0.3;0.1;0;1.8;1.8;1.4;3.3;0.9;0.5;-0.3;0.9;0.9
Q4-1996;0.9;0.4;0.8;0.8;0.1;0.7;-0.3;1.2;1.7;2.9;0.7;-1.6;0.5;0.5;0.5;0.8;1
Q1-1997;0.6;0.5;1;1.3;0.3;-0.5;0.4;0.3;0.5;0.2;1.1;2.7;1;1;0.8;1.4;0.6
Q2-1997;3;0.3;1.5;1.1;1.1;1.3;1.3;-0.7;3.6;2.3;1;2.4;0.9;1.2;0.7;0.9;1.7
Q3-1997;0.1;1.2;0.9;1.2;0.8;0.3;0.7;0.2;0.8;1.9;1.5;-0.1;1.2;0.9;1.2;0.7;1.3
Q4-1997;1.4;1.2;0.6;1;1.1;0.7;1.7;0;-0.5;2.4;1.3;1.4;1.4;1.8;0.9;1.2;0.9
Q1-1998;0.7;0.9;0.3;1.4;0.9;0.9;-0.6;-1.1;-6.8;1;1.3;1;0.9;0.5;0.7;0.9;1
Q2-1998;1;1.1;0.3;0.1;0.9;-0.4;0.5;-0.4;-0.8;0.7;0.7;1.1;1.1;1.3;1.2;0.9;0.9
Q3-1998;1.9;0.2;0.3;0.9;0.7;0.5;0.1;0.2;1.7;0.5;0.9;-1.8;0.9;0.7;-0.1;0.7;1.3
Q4-1998;1.5;0.4;0.2;1.4;0.8;-0.4;-0.4;0.8;2.5;0.2;0.9;0.5;1.1;1;-0.3;1;1.6
Q1-1999;0.8;1;1;1.8;0.5;1.2;0.6;-1.3;3;1.1;1.7;0.7;1;1.3;0.1;0.6;0.9
Q2-1999;0.3;1;1.4;0.8;0.8;0;0.4;0.3;4.4;0.6;1.1;0;1.2;0.5;0.9;0.2;0.8
Q3-1999;1.2;1.4;1.5;1.6;1.2;1.1;0.8;0.6;2.8;0.8;1.4;2.1;1.3;1;0.6;1.8;1.3
Q4-1999;1.7;0.9;1.2;1.4;1.4;0.8;1.5;0.1;2.9;1;1.4;1.7;1.1;1.8;2.4;1.4;1.7
Q1-2000;0.4;1;0.7;1.6;0.9;1.4;1.2;1.8;1.9;1.8;0.6;1.5;1.6;0.8;0.7;0.8;0.4
Q2-2000;0.9;0.8;0.7;1.2;0.9;0.8;0.7;0.3;1.3;1.6;1.1;-1.4;1.3;2.4;0.4;0.6;1.8
Q3-2000;0.2;0.6;0.5;1;0.7;0;0.7;0.1;2.8;0.8;0.8;1;1.1;0.9;0.8;0.3;0.1
Q4-2000;-0.4;0.9;1;0.2;0.8;-0.3;1.5;1;-0.3;-0.7;1.3;0;1;-0.3;1;0.2;0.6
Q1-2001;1;-0.1;0.1;0.5;0.5;2;0.5;0.5;1.2;0.1;0.1;1.2;1.1;0.5;0;1.4;-0.3
Q2-2001;0.8;-0.1;0;0.3;0.1;0;-0.3;-0.5;1.3;-0.6;0.5;-0.2;0.7;-0.1;0.3;0.8;0.6
Q3-2001;1.2;0.2;-0.2;-0.1;0.4;-0.2;-0.2;-1;1.4;0;0.2;1.2;0.9;0.4;-0.3;0.8;-0.4
Q4-2001;1.2;0.3;-0.1;0.6;0;-0.1;-0.1;-0.3;1.8;-0.5;0.3;0.9;0.7;0.9;0;0.4;0.3
Q1-2002;0.8;0.7;0.9;1.5;0.3;-0.5;0;0.2;2.5;-0.6;-0.6;-1;0.4;-0.1;0.3;0.4;0.9
Q2-2002;1.7;0.4;0.9;0.6;0.5;0.4;0.5;0.7;1.8;0.9;0.3;2.1;0.8;1.5;0.1;0.5;0.6
Q3-2002;0.3;0.4;0.5;0.9;0.4;0.5;0.2;0.3;2;0.7;0.2;-1.5;0.6;0.5;0.2;0.8;0.4
Q4-2002;0.7;0.2;0.4;0.5;0.1;-0.2;0.4;0.3;1.1;0.3;0.1;1.1;0.8;0.3;-0.4;0.9;0.2
Q1-2003;0.1;0.1;-0.3;0.6;0.1;-1.5;-0.4;0.1;-0.7;0.3;0;0;0.9;1;-0.7;0.7;0.6
Q2-2003;0.3;0.2;0.2;-0.1;-0.2;0.1;-0.1;0.6;-0.2;0.2;-0.3;-0.5;0.5;-0.4;0.2;0.9;0.9
Q3-2003;1.7;0.4;0.4;0.4;0.7;0.8;-0.1;0.4;1.9;0;0.1;1.4;0.7;1.3;1;1;1.7
Q4-2003;1.7;0.3;0.7;0.7;0.8;0.3;0.9;1.1;2.6;1;0.5;0;0.9;0.7;1.2;0.8;1.1
Q1-2004;0.8;1.3;1.5;0.7;0.9;-0.2;0.3;0.7;1.3;1.3;0.9;3.5;0.6;1.6;0.7;0.5;0.5
Q2-2004;0.7;0.4;1;1.2;0.7;0.5;0.3;0;0.8;1.7;0.5;0.2;1;0.6;0.4;0.4;0.8
Q3-2004;0.8;0.7;0.9;1.2;0.4;-0.2;0;0.6;0.4;-0.1;0.1;-1.2;0.9;0.7;0.3;0.2;0.9
Q4-2004;0.8;0.2;0.4;0.7;0.7;-0.1;0.2;-0.2;0.8;1.2;0.2;1;0.7;0.9;0.2;0.3;1
Q1-2005;0.8;0.3;0.5;0.3;0.2;0;-0.1;0.5;0.9;0.2;0.3;1.6;1;0.4;1.2;0.8;1.1
Q2-2005;0.4;1.4;0.6;0.7;0.2;0.6;0.7;0.7;1.9;0.3;0.7;0.5;0.9;0.7;1.1;1.2;0.5
Q3-2005;1.1;0.5;0.4;1.2;0.5;0.8;0.6;1;1.5;0.9;1.3;0.8;1;1.2;1;1.1;0.9
Q4-2005;0.8;0.9;0.8;1;0.7;0.5;0.1;0.2;1;1.6;0.6;0.2;1;0.7;0.9;1.5;0.6
Q1-2006;0.2;1;0.6;0.8;0.8;1;0.3;0.2;1.6;1.8;0.6;0.6;1.1;1.5;1.1;0.4;1.3
Q2-2006;0.2;0.6;0.4;0.1;1;1.7;0.6;0.2;0.7;1;1.5;0.1;1;1.7;0.9;0.3;0.2
Q3-2006;1.5;1.1;0.9;0.3;0;0.8;0.4;-0.2;1.6;0.3;0.6;1;0.9;1.1;0.8;0.1;0.2
Q4-2006;1.3;1.2;1.1;0.4;0.8;1.5;1.2;1.3;0.8;0.2;0.8;1.8;1;0.6;1.6;0.5;0.9
